Fax ID;Nom et prénom utilisateur;Revendeur;Mode;Adresse de messagerie;Date et heure du fax;Numéro d'envoi;Numéro appelé;Appel international;Appel interne;Nombre de page réel;Durée;Pages facturées;Type facturation
3975622;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 02:05;33430317505;33493095562;0;0;0;;0.33;hors forfait
3975623;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 02:07;33430317505;33493095562;0;0;0;;0.33;hors forfait
3975624;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 02:08;33430317505;33492036299;0;0;1;92;2.00;hors forfait
6476689;. FAX MFP pharmacie Archet 2;KOMI Fax Sud Est;RF;0492036299@chu-nice.fr;04/10/2025 02:10;33492037777;33489419660;0;1;1;91;0.33;hors forfait
3975627;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 02:16;33430317505;33492036299;0;0;4;424;8.00;hors forfait
3975629;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 02:20;33430317505;33492039760;0;0;1;73;2.00;hors forfait
6476693;. FAX MFP Depot Sang P2;KOMI Fax Sud Est;RF;0492039760@chu-nice.fr;04/10/2025 02:21;33492037777;33489419467;0;1;1;72;0.33;hors forfait
6476694;. FAX MFP pharmacie Archet 2;KOMI Fax Sud Est;RF;0492036299@chu-nice.fr;04/10/2025 02:23;33492037777;33489419660;0;1;4;423;1.33;hors forfait
3975635;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 02:25;33430317505;493095562;1;0;0;;0.33;hors forfait
3975665;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 04:35;33430317505;36307;1;0;0;;0.33;hors forfait
6476753;. FAX MFP Gastro 4B Sec;KOMI Fax Sud Est;RF;0492039408@chu-nice.fr;04/10/2025 06:14;33492037777;33489419499;0;1;2;70;0.67;hors forfait
3975689;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:19;33430317505;33492039760;0;0;1;78;2.00;hors forfait
6476759;. FAX MFP Depot Sang P2;KOMI Fax Sud Est;RF;0492039760@chu-nice.fr;04/10/2025 06:21;33492037777;33489419467;0;1;1;77;0.33;hors forfait
3975692;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:22;33430317505;33492036569;0;0;1;58;1.00;hors forfait
3975693;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:23;33430317505;33492036569;0;0;1;58;1.00;hors forfait
3975695;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:24;33430317505;33492035977;0;0;1;80;2.00;hors forfait
3975696;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:24;33430317505;33492128584;0;0;1;46;1.00;hors forfait
6476760;. FAX MFP Secretariat Radio;KOMI Fax Sud Est;RF;0492036569@chu-nice.fr;04/10/2025 06:24;33492037777;33489419618;0;1;1;56;0.33;hors forfait
6476762;. FAX MFP Secretariat Radio;KOMI Fax Sud Est;RF;0492036569@chu-nice.fr;04/10/2025 06:24;33492037777;33489419618;0;1;1;56;0.33;hors forfait
6476764;. FAX MFP Accueil depot sang;KOMI Fax Sud Est;RF;0492035977@chu-nice.fr;04/10/2025 06:25;33492037777;33489419409;0;1;1;79;0.33;hors forfait
3975698;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:29;33430317505;33492275249;0;0;2;71;2.00;hors forfait
3975702;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:32;33430317505;33492039760;0;0;1;61;2.00;hors forfait
6476768;. FAX MFP Depot Sang P2;KOMI Fax Sud Est;RF;0492039760@chu-nice.fr;04/10/2025 06:33;33492037777;33489419467;0;1;1;60;0.33;hors forfait
3975703;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:38;33430317505;3629;1;0;0;;0.33;hors forfait
3975704;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:38;33430317505;36299;1;0;0;;0.33;hors forfait
3975705;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:39;33430317505;33492039760;0;0;1;80;2.00;hors forfait
6476770;. FAX MFP Depot Sang P2;KOMI Fax Sud Est;RF;0492039760@chu-nice.fr;04/10/2025 06:40;33492037777;33489419467;0;1;1;79;0.33;hors forfait
3975707;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:47;33430317505;33492036299;0;0;1;52;1.00;hors forfait
6476772;. FAX MFP pharmacie Archet 2;KOMI Fax Sud Est;RF;0492036299@chu-nice.fr;04/10/2025 06:48;33492037777;33489419660;0;1;1;50;0.33;hors forfait
6476774;. FAX MFP Secretariat Digestif D3;KOMI Fax Sud Est;RF;0492036287@chu-nice.fr;04/10/2025 06:53;33492037777;33489419607;0;1;6;190;2.00;hors forfait
6476775;GYNECO AMP FAX MFP;KOMI Fax Sud Est;RF;0492036424@chu-nice.fr;04/10/2025 06:53;33492037777;33489419683;0;1;2;70;0.67;hors forfait
6476776;. FAX MFP gyneco maternite;KOMI Fax Sud Est;RF;0492036564@chu-nice.fr;04/10/2025 06:53;33492037777;33489419650;0;1;2;71;0.67;hors forfait
3975709;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 06:54;33430317505;33492038165;0;0;1;66;2.00;hors forfait
6476777;. FAX MFP Sec Cardiologie Soins Inte;KOMI Fax Sud Est;RF;0492038325@chu-nice.fr;04/10/2025 06:54;33492037777;33489419570;0;1;3;93;1.00;hors forfait
6476778;. FAX MFP Chambre Mortuaire;KOMI Fax Sud Est;RF;0492038165@chu-nice.fr;04/10/2025 06:55;33492037777;33489419444;0;1;1;64;0.33;hors forfait
3975717;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 07:09;33430317505;33492036299;0;0;1;89;2.00;hors forfait
6476788;. FAX MFP pharmacie Archet 2;KOMI Fax Sud Est;RF;0492036299@chu-nice.fr;04/10/2025 07:10;33492037777;33489419660;0;1;1;88;0.33;hors forfait
3975720;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 07:19;33430317505;33492039760;0;0;1;67;2.00;hors forfait
6476793;. FAX MFP Depot Sang P2;KOMI Fax Sud Est;RF;0492039760@chu-nice.fr;04/10/2025 07:20;33492037777;33489419467;0;1;1;66;0.33;hors forfait
6476804;. FAX MFP Secretariat Nephro I3;KOMI Fax Sud Est;RF;0492038495@chu-nice.fr;04/10/2025 07:30;33492037777;33489419613;0;1;8;217;2.67;hors forfait
6476819;. FAX MFP Accueil depot sang;KOMI Fax Sud Est;RF;0492035977@chu-nice.fr;04/10/2025 07:47;33492037777;33489419409;0;1;1;33;0.33;hors forfait
3975728;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 07:53;33430317505;33492035977;0;0;1;74;2.00;hors forfait
3975729;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 07:53;33430317505;33492035977;0;0;1;74;2.00;hors forfait
6476828;. FAX MFP Accueil depot sang;KOMI Fax Sud Est;RF;0492035977@chu-nice.fr;04/10/2025 07:54;33492037777;33489419409;0;1;1;73;0.33;hors forfait
6476829;. FAX MFP Accueil depot sang;KOMI Fax Sud Est;RF;0492035977@chu-nice.fr;04/10/2025 07:54;33492037777;33489419409;0;1;1;73;0.33;hors forfait
3975734;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 08:07;33430317505;33492128584;0;0;1;55;1.00;hors forfait
6476870;. FAX MFP gyneco maternite;KOMI Fax Sud Est;RF;0492036564@chu-nice.fr;04/10/2025 08:22;33492037777;33489419650;0;1;3;70;1.00;hors forfait
6476882;FAX MFP - hemato consult .;KOMI Fax Sud Est;RF;0492035895@chu-nice.fr;04/10/2025 08:33;33492037777;33489419682;0;1;6;204;2.00;hors forfait
3975752;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 08:44;33430317505;33492128584;0;0;1;49;1.00;hors forfait
3975753;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 08:46;33430317505;33492128584;0;0;1;49;1.00;hors forfait
6476923;. FAX MFP UMIPUOG;KOMI Fax Sud Est;RF;0492039696@chu-nice.fr;04/10/2025 08:53;33492037777;33489419635;0;1;10;197;3.33;hors forfait
6476925;. FAX MFP Secr. Rhumato.;KOMI Fax Sud Est;RF;0492039652@chu-nice.fr;04/10/2025 08:54;33492037777;33489419585;0;1;4;131;1.33;hors forfait
3975760;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 08:55;33430317505;33492275249;0;0;1;42;1.00;hors forfait
3975767;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 09:08;33430317505;33492035977;0;0;1;75;2.00;hors forfait
6476953;. FAX MFP Accueil depot sang;KOMI Fax Sud Est;RF;0492035977@chu-nice.fr;04/10/2025 09:09;33492037777;33489419409;0;1;1;74;0.33;hors forfait
6476959;HDJ Médecine Interne 0492039065;KOMI Fax Sud Est;RF;0492039065@chu-nice.fr;04/10/2025 09:12;33492037777;33489419724;0;1;6;112;2.00;hors forfait
3975779;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 09:21;33430317505;33492036299;0;0;1;92;2.00;hors forfait
3975780;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 09:22;33430317505;33492035977;0;0;1;75;2.00;hors forfait
6476979;. FAX MFP pharmacie Archet 2;KOMI Fax Sud Est;RF;0492036299@chu-nice.fr;04/10/2025 09:23;33492037777;33489419660;0;1;1;91;0.33;hors forfait
6476980;. FAX MFP Accueil depot sang;KOMI Fax Sud Est;RF;0492035977@chu-nice.fr;04/10/2025 09:23;33492037777;33489419409;0;1;1;74;0.33;hors forfait
3975781;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 09:23;33430317505;33492036299;0;0;1;49;1.00;hors forfait
6476983;. FAX MFP pharmacie Archet 2;KOMI Fax Sud Est;RF;0492036299@chu-nice.fr;04/10/2025 09:24;33492037777;33489419660;0;1;1;48;0.33;hors forfait
3975783;CHU NICE .;KOMI Fax Sud Est;SF;femenia.r@chu-nice.fr;04/10/2025 09:26;33430317505;33492038165;0;0;1;60;1.00;hors forfait
6476990;. FAX MFP Chambre Mortuaire;KOMI Fax Sud Est;RF;0492038165@chu-nice.fr;04/10/2025 09:27;33492037777;33489419444;0;1;1;58;0.33;hors forfait
